Predictor variable,Categorical,Sample average
bio_1,false,26.934722173781623
bio_12,false,2371.2380952380954
bio_14,false,77.76190476190476
bio_15,false,37.66900398617699
bio_3,false,87.32731083461216
bio_4,false,38.40938813345773
bio_7,false,11.485713777087984
