Predictor variable,Categorical,Sample average
bio_1,false,26.597619102114724
bio_10,false,26.978571483067103
bio_11,false,26.05476188659668
bio_12,false,2401.5714285714284
bio_13,false,321.6666666666667
bio_14,false,80.95238095238095
bio_15,false,37.41520999726795
bio_16,false,831.4761904761905
bio_17,false,334.76190476190476
bio_2,false,9.985714276631674
bio_3,false,87.18829055059524
bio_4,false,38.274065017700195
bio_5,false,32.64285696120489
bio_6,false,21.18571426754906
bio_7,false,11.45714269365583
bio_ai_et0,false,15072.619047619048
bio_et0_yr,false,1593.4761904761904
