Predictor variable,Categorical,Sample average
bio_1,false,26.979166666666668
bio_10,false,27.331745965140207
bio_11,false,26.465872810000466
bio_12,false,2501.095238095238
bio_13,false,341.3333333333333
bio_14,false,79.76190476190476
bio_15,false,39.93201491946266
bio_16,false,878.6666666666666
bio_17,false,322.9047619047619
bio_2,false,10.035317330133347
bio_3,false,87.4547627766927
bio_4,false,35.92022904895601
bio_5,false,32.98571377708798
bio_6,false,21.50952384585426
bio_7,false,11.476189931233725
bio_ai_et0,false,15681.238095238095
bio_et0_yr,false,1593.952380952381
