X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.368611,6.438056,train,3.388269876316738E-4,42.65000274630314,0.6208889615032198
-74.668706,5.574697,train,0.001512711657792076,90.57475997373886,0.9868362496340057
-74.323667,6.515028,train,5.658646660047303E-4,60.57788018254596,0.8020704659640272
-74.737583,5.667167,train,4.6600053372852107E-4,53.584656971182206,0.7365714575621739
-74.323667,6.515028,train,5.658646660047303E-4,60.57788018254596,0.8020704659640272
-74.76675,5.676306,train,6.292621248328227E-4,63.55710167875959,0.8349201143532772
-74.885833,5.407444,train,0.0011938812887615005,85.10135255136552,0.9672091115352299
-74.323667,6.515028,train,5.658646660047303E-4,60.57788018254596,0.8020704659640272
-74.737889,5.684417,train,3.7755370818943237E-4,46.11723835766515,0.6606710370763388
-74.900639,5.568667,train,2.3791305577648317E-4,32.77091188525895,0.4939146340893934
-74.885833,5.407444,train,0.0011938812887615005,85.10135255136552,0.9672091115352299
-74.854444,5.322778,train,6.425520793541203E-4,64.2423010308149,0.8410824223615614
-74.76675,5.676306,train,6.292621248328227E-4,63.55710167875959,0.8349201143532772
-74.223111,5.967972,train,5.10168006527253E-4,56.81280612461831,0.7678582127808551
-74.900639,5.568667,train,2.3791305577648317E-4,32.77091188525895,0.4939146340893934
-74.103194,6.515417,train,3.8592788542183E-4,47.01407445166435,0.6687086800131186
-74.223111,5.967972,train,5.10168006527253E-4,56.81280612461831,0.7678582127808551
-74.777528,5.638694,train,9.338173867837124E-4,77.83586992739622,0.9309652766267963
-74.885833,5.407444,train,0.0011938812887615005,85.10135255136552,0.9672091115352299
-74.351933,6.471417,train,6.64178198112365E-4,65.63575523616794,0.8506221860987219
-74.351933,6.471417,train,6.64178198112365E-4,65.63575523616794,0.8506221860987219
