Predictor variable,Categorical,Sample average
bio_1,false,27.234920774187362
bio_10,false,27.596825554257347
bio_11,false,26.723015648978098
bio_12,false,2487.6666666666665
bio_13,false,344.1904761904762
bio_14,false,81.42857142857143
bio_15,false,39.92771166846866
bio_16,false,868.5714285714286
bio_17,false,329.7142857142857
bio_2,false,10.074603035336448
bio_3,false,87.84027135939826
bio_4,false,36.486832754952566
bio_5,false,33.26190458025251
bio_6,false,21.785714467366535
bio_7,false,11.476190112885975
bio_ai_et0,false,15528.190476190477
bio_et0_yr,false,1601.8095238095239
