Predictor variable,Categorical,Sample average
bio_1,false,27.153174445742653
bio_10,false,27.511904852730886
bio_11,false,26.63333293369838
bio_12,false,2479.7619047619046
bio_13,false,342.5238095238095
bio_14,false,79.23809523809524
bio_15,false,40.12222062973749
bio_16,false,870.4761904761905
bio_17,false,322.5238095238095
bio_2,false,10.083333151681083
bio_3,false,87.81252543131511
bio_4,false,36.57023575192406
bio_5,false,33.18571381341843
bio_6,false,21.7000002179827
bio_7,false,11.485713595435733
bio_ai_et0,false,15508.904761904761
bio_et0_yr,false,1598.4761904761904
