Predictor variable,Categorical,Sample average
bio_1,false,27.464881170363654
bio_10,false,27.802380788893927
bio_11,false,26.97777775355748
bio_12,false,2509.1428571428573
bio_13,false,346.4761904761905
bio_14,false,72.80952380952381
bio_15,false,41.27866581508091
bio_16,false,888.2380952380952
bio_17,false,310.76190476190476
bio_2,false,10.083730152675084
bio_3,false,88.08030954996745
bio_4,false,34.608345304216655
bio_5,false,33.42380941481817
bio_6,false,21.971428734915598
bio_7,false,11.452380679902577
bio_ai_et0,false,15659.42857142857
bio_et0_yr,false,1601.4761904761904
