Predictor variable,Categorical,Sample average
bio_1,false,27.0238094329834
bio_10,false,27.401587259201776
bio_11,false,26.488095147269114
bio_12,false,2403.1428571428573
bio_13,false,324.85714285714283
bio_14,false,72.85714285714286
bio_15,false,38.35706402006603
bio_16,false,830.5238095238095
bio_17,false,322.95238095238096
bio_2,false,10.023809478396462
bio_3,false,87.3298830304827
bio_4,false,37.749866848900204
bio_5,false,33.07142838977632
bio_6,false,21.59047626313709
bio_7,false,11.48095212663923
bio_ai_et0,false,15005.57142857143
bio_et0_yr,false,1601.1904761904761
