Predictor variable,Categorical,Sample average
bio_1,false,26.912301653907413
bio_10,false,27.25793656848726
bio_11,false,26.387301308768137
bio_12,false,2468.9523809523807
bio_13,false,340.9047619047619
bio_14,false,79.66666666666667
bio_15,false,39.71904718308222
bio_16,false,865.047619047619
bio_17,false,323.76190476190476
bio_2,false,9.973809560139975
bio_3,false,87.58508773077102
bio_4,false,36.6657768431164
bio_5,false,32.88095219930013
bio_6,false,21.490476244971866
bio_7,false,11.390475954328265
bio_ai_et0,false,15507.666666666666
bio_et0_yr,false,1591.5714285714287
