Predictor variable,Categorical,Sample average
bio_1,false,27.035912922450475
bio_10,false,27.386507670084637
bio_11,false,26.528571628388903
bio_12,false,2454.0476190476193
bio_13,false,335.76190476190476
bio_14,false,80.33333333333333
bio_15,false,38.98508398873465
bio_16,false,847.0952380952381
bio_17,false,333.95238095238096
bio_2,false,10.001190503438314
bio_3,false,87.2505129859561
bio_4,false,35.85453714643206
bio_5,false,33.03333327883766
bio_6,false,21.566666830153693
bio_7,false,11.466666448683966
bio_ai_et0,false,15372.0
bio_et0_yr,false,1596.3809523809523
