X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-74.737583,5.667167,train,4.660405510171225E-4,50.8311185563694,0.707841654769013
-74.368611,6.438056,train,3.170689700314023E-4,40.079364396186364,0.5670523580297016
-74.854444,5.322778,train,6.611965579786198E-4,62.30025553473836,0.8254804005762517
-74.323667,6.515028,train,4.8595050149698144E-4,52.37578903339062,0.7228028829586217
-74.473444,6.262694,train,0.0013151191404585686,83.60510930076587,0.9689523265982098
-74.351933,6.471417,train,8.113269440491827E-4,70.18149926986027,0.8825918107186589
-74.223111,5.967972,train,5.141880565013472E-4,53.88791150519017,0.742717444672818
-74.885833,5.407444,train,0.0010872669256866202,78.84257552036878,0.9433377263215904
-74.777528,5.638694,train,0.001061587638565071,78.08780658785696,0.939362826603749
-74.909722,5.559361,train,0.002426196757317227,94.92896102796914,0.9983479593916048
-74.591222,6.190222,train,0.0010259572348301205,77.04642643777122,0.9333815891676119
-74.909722,5.559361,train,0.002426196757317227,94.92896102796914,0.9983479593916048
-74.473444,6.262694,train,0.0013151191404585686,83.60510930076587,0.9689523265982098
-74.909722,5.559361,train,0.002426196757317227,94.92896102796914,0.9983479593916048
-74.223111,5.967972,train,5.141880565013472E-4,53.88791150519017,0.742717444672818
-74.351933,6.471417,train,8.113269440491827E-4,70.18149926986027,0.8825918107186589
-74.859417,5.545194,train,0.0010662821728628894,78.30091563317337,0.9401097676601858
-74.816917,4.42425,train,1.8872322044635165E-4,26.7587884588683,0.39242203476696114
-74.900639,5.568667,train,2.0538041093874778E-4,28.91005527498414,0.41856364956329417
-74.816917,4.42425,train,1.8872322044635165E-4,26.7587884588683,0.39242203476696114
-74.103194,6.515417,train,3.658297556713346E-4,44.151242327345095,0.6193514232957444
