Predictor variable,Categorical,Sample average
bio_1,false,26.93115098135812
bio_10,false,27.24682517278762
bio_11,false,26.431746074131556
bio_12,false,2538.904761904762
bio_13,false,330.1904761904762
bio_14,false,90.71428571428571
bio_15,false,37.33713722229004
bio_16,false,865.1428571428571
bio_17,false,345.6190476190476
bio_2,false,9.967063404264904
bio_3,false,88.0528542654855
bio_4,false,34.994600750151136
bio_5,false,32.78571410406204
bio_6,false,21.466666811988468
bio_7,false,11.319047292073568
bio_ai_et0,false,15917.52380952381
bio_et0_yr,false,1594.047619047619
