Predictor variable,Categorical,Sample average
bio_1,false,27.10714312962123
bio_10,false,27.462698436918714
bio_11,false,26.603968302408855
bio_12,false,2474.8571428571427
bio_13,false,345.2857142857143
bio_14,false,78.47619047619048
bio_15,false,40.61701156979515
bio_16,false,868.3809523809524
bio_17,false,318.7142857142857
bio_2,false,10.05079360235305
bio_3,false,87.51968783424014
bio_4,false,36.13235727945963
bio_5,false,33.10476203191848
bio_6,false,21.614285968598864
bio_7,false,11.490476063319615
bio_ai_et0,false,15479.52380952381
bio_et0_yr,false,1598.3809523809523
