Predictor variable,Categorical,Sample average
bio_1,false,26.846825372605096
bio_10,false,27.180952344621932
bio_11,false,26.32936495826358
bio_12,false,2483.2380952380954
bio_13,false,327.85714285714283
bio_14,false,88.0952380952381
bio_15,false,37.49557958330427
bio_16,false,860.0
bio_17,false,346.9047619047619
bio_2,false,9.936507951645623
bio_3,false,87.68250020345052
bio_4,false,36.011541911533904
bio_5,false,32.761904489426385
bio_6,false,21.428571519397554
bio_7,false,11.333332970028831
bio_ai_et0,false,15594.333333333334
bio_et0_yr,false,1591.8095238095239
