Predictor variable,Categorical,Sample average
bio_1,false,27.366865067254928
bio_10,false,27.703174409412203
bio_11,false,26.871428444271995
bio_12,false,2502.0
bio_13,false,338.8095238095238
bio_14,false,76.14285714285714
bio_15,false,39.848170961652485
bio_16,false,871.1904761904761
bio_17,false,320.2857142857143
bio_2,false,10.076587268284388
bio_3,false,88.17972637358166
bio_4,false,34.96305756341843
bio_5,false,33.319047564551944
bio_6,false,21.89047649928502
bio_7,false,11.428571065266928
bio_ai_et0,false,15626.142857142857
bio_et0_yr,false,1600.4285714285713
