Predictor variable,Categorical,Sample average
bio_1,false,27.130357288178942
bio_10,false,27.515873046148393
bio_11,false,26.599999745686848
bio_12,false,2392.904761904762
bio_13,false,334.23809523809524
bio_14,false,74.14285714285714
bio_15,false,39.66428311665853
bio_16,false,840.7619047619048
bio_17,false,315.5238095238095
bio_2,false,10.122618993123373
bio_3,false,87.00258200509208
bio_4,false,37.64450100490025
bio_5,false,33.26666650317964
bio_6,false,21.628571464901878
bio_7,false,11.638095038277763
bio_ai_et0,false,14947.47619047619
bio_et0_yr,false,1600.5714285714287
