Predictor variable,Categorical,Sample average
bio_1,false,27.456150781540643
bio_10,false,27.811904725574312
bio_11,false,26.961904525756836
bio_12,false,2548.190476190476
bio_13,false,353.4761904761905
bio_14,false,80.52380952380952
bio_15,false,40.8472170148577
bio_16,false,911.952380952381
bio_17,false,320.95238095238096
bio_2,false,10.211507706415086
bio_3,false,88.06134033203125
bio_4,false,35.39364260718936
bio_5,false,33.48571377708798
bio_6,false,21.88571448553176
bio_7,false,11.599999291556221
bio_ai_et0,false,15850.285714285714
bio_et0_yr,false,1606.7142857142858
