Predictor variable,Categorical,Sample average
bio_1,false,26.9761905670166
bio_10,false,27.33412724449521
bio_11,false,26.455555507114955
bio_12,false,2470.0476190476193
bio_13,false,332.2857142857143
bio_14,false,81.80952380952381
bio_15,false,38.153746105375745
bio_16,false,857.6666666666666
bio_17,false,333.9047619047619
bio_2,false,9.992063295273553
bio_3,false,87.74966321672711
bio_4,false,36.51894396827335
bio_5,false,32.95714269365583
bio_6,false,21.566666648501442
bio_7,false,11.39047604515439
bio_ai_et0,false,15478.285714285714
bio_et0_yr,false,1595.047619047619
