Predictor variable,Categorical,Sample average
bio_1,false,27.144841239565896
bio_10,false,27.518253689720517
bio_11,false,26.62936510358538
bio_12,false,2440.4761904761904
bio_13,false,333.23809523809524
bio_14,false,76.61904761904762
bio_15,false,39.73591332208542
bio_16,false,857.0952380952381
bio_17,false,320.2857142857143
bio_2,false,10.11031741187686
bio_3,false,87.48253413609096
bio_4,false,36.95820708501907
bio_5,false,33.19999967302595
bio_6,false,21.63809549240839
bio_7,false,11.56190418061756
bio_ai_et0,false,15218.857142857143
bio_et0_yr,false,1603.2380952380952
