Predictor variable,Categorical,Sample average
bio_1,false,26.966468266078405
bio_10,false,27.322222210112074
bio_11,false,26.438888640630815
bio_12,false,2483.3333333333335
bio_13,false,329.3333333333333
bio_14,false,89.61904761904762
bio_15,false,37.634246190389
bio_16,false,855.7142857142857
bio_17,false,342.5238095238095
bio_2,false,10.040872891743978
bio_3,false,87.65389397030785
bio_4,false,37.10961105709984
bio_5,false,32.96666644868397
bio_6,false,21.509523936680385
bio_7,false,11.45714251200358
bio_ai_et0,false,15548.52380952381
bio_et0_yr,false,1596.3809523809523
