Predictor variable,Categorical,Sample average
bio_1,false,27.090277989705402
bio_10,false,27.41349220275879
bio_11,false,26.595237913585844
bio_12,false,2562.3809523809523
bio_13,false,343.0952380952381
bio_14,false,90.76190476190476
bio_15,false,38.4116937546503
bio_16,false,891.2380952380952
bio_17,false,351.3333333333333
bio_2,false,10.046428498767671
bio_3,false,88.21856834774925
bio_4,false,34.86737196786063
bio_5,false,32.99999990917387
bio_6,false,21.609523864019486
bio_7,false,11.39047604515439
bio_ai_et0,false,16017.47619047619
bio_et0_yr,false,1599.1904761904761
