Predictor variable,Categorical,Sample average
bio_1,false,26.995039712815057
bio_10,false,27.356349218459357
bio_11,false,26.477777662731352
bio_12,false,2460.8571428571427
bio_13,false,338.9047619047619
bio_14,false,77.95238095238095
bio_15,false,39.343818028767906
bio_16,false,869.1428571428571
bio_17,false,329.57142857142856
bio_2,false,10.010714258466448
bio_3,false,87.78096407935733
bio_4,false,36.712083998180574
bio_5,false,32.98095212663923
bio_6,false,21.571428753080824
bio_7,false,11.409523373558407
bio_ai_et0,false,15393.952380952382
bio_et0_yr,false,1598.3809523809523
