variable,x,y
bio_et0_yr,805.7,0.0
bio_et0_yr,808.1552,0.0
bio_et0_yr,810.6104,0.0
bio_et0_yr,813.0656,0.0
bio_et0_yr,815.5208,0.0
bio_et0_yr,817.976,0.0
bio_et0_yr,820.4312,0.0
bio_et0_yr,822.8864000000001,0.0
bio_et0_yr,825.3416000000001,0.0
bio_et0_yr,827.7968000000001,0.0
bio_et0_yr,830.2520000000001,0.0
bio_et0_yr,832.7072000000001,0.0
bio_et0_yr,835.1624,0.0
bio_et0_yr,837.6176,0.0
bio_et0_yr,840.0728,0.0
bio_et0_yr,842.528,0.0
bio_et0_yr,844.9832,0.0
bio_et0_yr,847.4384,0.0
bio_et0_yr,849.8936,0.0
bio_et0_yr,852.3488,0.0
bio_et0_yr,854.8040000000001,0.0
bio_et0_yr,857.2592000000001,0.0
bio_et0_yr,859.7144000000001,0.0
bio_et0_yr,862.1696000000001,0.0
bio_et0_yr,864.6248,0.0
bio_et0_yr,867.08,0.0
bio_et0_yr,869.5352,0.0
bio_et0_yr,871.9904,0.0
bio_et0_yr,874.4456,0.0
bio_et0_yr,876.9008,0.0
bio_et0_yr,879.356,0.0
bio_et0_yr,881.8112000000001,0.0
bio_et0_yr,884.2664,0.0
bio_et0_yr,886.7216000000001,0.0
bio_et0_yr,889.1768000000001,0.0
bio_et0_yr,891.6320000000001,0.0
bio_et0_yr,894.0872,0.0
bio_et0_yr,896.5424,0.0
bio_et0_yr,898.9976,0.0
bio_et0_yr,901.4528,0.0
bio_et0_yr,903.908,0.0
bio_et0_yr,906.3632,0.0
bio_et0_yr,908.8184,0.25938376784324646
bio_et0_yr,911.2736,0.2603486478328705
bio_et0_yr,913.7288000000001,0.2613164782524109
bio_et0_yr,916.184,0.2622871994972229
bio_et0_yr,918.6392000000001,0.2632608711719513
bio_et0_yr,921.0944000000001,0.26423749327659607
bio_et0_yr,923.5496,0.26521703600883484
bio_et0_yr,926.0048,0.2661994993686676
bio_et0_yr,928.46,0.26718494296073914
bio_et0_yr,930.9152,0.26817330718040466
bio_et0_yr,933.3704,0.2691646218299866
bio_et0_yr,935.8256,0.27015888690948486
bio_et0_yr,938.2808,0.2711561322212219
bio_et0_yr,940.7360000000001,0.272156298160553
bio_et0_yr,943.1912,0.2731594443321228
bio_et0_yr,945.6464000000001,0.2741655707359314
bio_et0_yr,948.1016,0.27517464756965637
bio_et0_yr,950.5568000000001,0.27618667483329773
bio_et0_yr,953.0120000000001,0.27720171213150024
bio_et0_yr,955.4672,0.27821969985961914
bio_et0_yr,957.9224,0.2792406678199768
bio_et0_yr,960.3776,0.28026461601257324
bio_et0_yr,962.8328,0.28129154443740845
bio_et0_yr,965.288,0.2823214530944824
bio_et0_yr,967.7432,0.28335434198379517
bio_et0_yr,970.1984,0.28439024090766907
bio_et0_yr,972.6536,0.28542912006378174
bio_et0_yr,975.1088,0.2864709794521332
bio_et0_yr,977.5640000000001,0.2875158488750458
bio_et0_yr,980.0192000000001,0.28856369853019714
bio_et0_yr,982.4744000000001,0.28961455821990967
bio_et0_yr,984.9296,0.29066842794418335
bio_et0_yr,987.3848,0.2917252779006958
bio_et0_yr,989.84,0.2927851378917694
bio_et0_yr,992.2952,0.2938480079174042
bio_et0_yr,994.7504,0.2949138879776001
bio_et0_yr,997.2056,0.2959827780723572
bio_et0_yr,999.6608,0.2970546782016754
bio_et0_yr,1002.116,0.2981295883655548
bio_et0_yr,1004.5712000000001,0.29920750856399536
bio_et0_yr,1007.0264000000001,0.30028843879699707
bio_et0_yr,1009.4816000000001,0.30137237906455994
bio_et0_yr,1011.9368000000001,0.30245932936668396
bio_et0_yr,1014.392,0.30354931950569153
bio_et0_yr,1016.8472,0.30464231967926025
bio_et0_yr,1019.3024,0.30573832988739014
bio_et0_yr,1021.7576,0.3068373501300812
bio_et0_yr,1024.2128,0.3079393804073334
bio_et0_yr,1026.6680000000001,0.3090444505214691
bio_et0_yr,1029.1232,0.3101525604724884
bio_et0_yr,1031.5784,0.31126368045806885
bio_et0_yr,1034.0336,0.31237784028053284
bio_et0_yr,1036.4888,0.3134949803352356
bio_et0_yr,1038.944,0.3146151900291443
bio_et0_yr,1041.3992,0.31573840975761414
bio_et0_yr,1043.8544,0.31686463952064514
bio_et0_yr,1046.3096,0.3179939091205597
bio_et0_yr,1048.7648,0.3191261887550354
bio_et0_yr,1051.22,0.32026147842407227
bio_et0_yr,1053.6752000000001,0.32139983773231506
bio_et0_yr,1056.1304,0.32254117727279663
bio_et0_yr,1058.5856,0.32368555665016174
bio_et0_yr,1061.0408,0.3248329758644104
bio_et0_yr,1063.496,0.3259833753108978
bio_et0_yr,1065.9512,0.3271368443965912
bio_et0_yr,1068.4064,0.3282932937145233
bio_et0_yr,1070.8616,0.329452782869339
bio_et0_yr,1073.3168,0.3306152820587158
bio_et0_yr,1075.772,0.3317808210849762
bio_et0_yr,1078.2272,0.33294937014579773
bio_et0_yr,1080.6824000000001,0.3341209292411804
bio_et0_yr,1083.1376,0.33529549837112427
bio_et0_yr,1085.5928,0.3364730775356293
bio_et0_yr,1088.048,0.3376536965370178
bio_et0_yr,1090.5032,0.33883729577064514
bio_et0_yr,1092.9584,0.340023934841156
bio_et0_yr,1095.4136,0.34121355414390564
bio_et0_yr,1097.8688,0.34240618348121643
bio_et0_yr,1100.324,0.34360185265541077
bio_et0_yr,1102.7792,0.34480050206184387
bio_et0_yr,1105.2344,0.34600213170051575
bio_et0_yr,1107.6896000000002,0.3472067713737488
bio_et0_yr,1110.1448,0.34841442108154297
bio_et0_yr,1112.6,0.3496250510215759
bio_et0_yr,1115.0552,0.35083869099617004
bio_et0_yr,1117.5104000000001,0.35205531120300293
bio_et0_yr,1119.9656,0.3532749116420746
bio_et0_yr,1122.4208,0.354497492313385
bio_et0_yr,1124.876,0.3557230830192566
bio_et0_yr,1127.3312,0.35695162415504456
bio_et0_yr,1129.7864,0.3581831455230713
bio_et0_yr,1132.2416,0.3594176471233368
bio_et0_yr,1134.6968000000002,0.36065512895584106
bio_et0_yr,1137.152,0.3618955612182617
bio_et0_yr,1139.6072,0.36313897371292114
bio_et0_yr,1142.0624,0.36438530683517456
bio_et0_yr,1144.5176000000001,0.36563462018966675
bio_et0_yr,1146.9728,0.3668869137763977
bio_et0_yr,1149.428,0.36814212799072266
bio_et0_yr,1151.8832,0.369400292634964
bio_et0_yr,1154.3384,0.3706613779067993
bio_et0_yr,1156.7936,0.371925413608551
bio_et0_yr,1159.2488,0.3731923997402191
bio_et0_yr,1161.7040000000002,0.3744622766971588
bio_et0_yr,1164.1592,0.3757351040840149
bio_et0_yr,1166.6144,0.37701085209846497
bio_et0_yr,1169.0696,0.37828952074050903
bio_et0_yr,1171.5248000000001,0.3795710802078247
bio_et0_yr,1173.98,0.3808555603027344
bio_et0_yr,1176.4352,0.38214293122291565
bio_et0_yr,1178.8904,0.38343319296836853
bio_et0_yr,1181.3456,0.384726345539093
bio_et0_yr,1183.8008,0.3860223889350891
bio_et0_yr,1186.256,0.3873213231563568
bio_et0_yr,1188.7112,0.38862311840057373
bio_et0_yr,1191.1664,0.38992777466773987
bio_et0_yr,1193.6216,0.3912352919578552
bio_et0_yr,1196.0768,0.3925456702709198
bio_et0_yr,1198.5320000000002,0.3938589096069336
bio_et0_yr,1200.9872,0.3951749801635742
bio_et0_yr,1203.4424,0.3964938819408417
bio_et0_yr,1205.8976,0.39781564474105835
bio_et0_yr,1208.3528000000001,0.39914020895957947
bio_et0_yr,1210.808,0.4004676043987274
bio_et0_yr,1213.2631999999999,0.4017978012561798
bio_et0_yr,1215.7184,0.40313079953193665
bio_et0_yr,1218.1736,0.4044665992259979
bio_et0_yr,1220.6288,0.40580520033836365
bio_et0_yr,1223.084,0.4071465730667114
bio_et0_yr,1225.5392,0.40849071741104126
bio_et0_yr,1227.9944,0.40983763337135315
bio_et0_yr,1230.4496,0.4111873209476471
bio_et0_yr,1232.9048,0.4125397503376007
bio_et0_yr,1235.3600000000001,0.413894921541214
bio_et0_yr,1237.8152,0.41525283455848694
