"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_1_F_lqp_Set_1",1.9365457607753,0,0,459.418601911049,11.1898998335952,0.000130275340172625,9
"M_2_F_l_Set_1",1.93597877579028,0,0,454.045562546379,5.81686046892492,0.00197805908676981,6
"M_2_F_q_Set_1",1.9573241200447,0,0,451.39027318089,3.16157110343619,0.00768273623554347,7
"M_2_F_p_Set_1",1.89003146914491,0,0,459.711691247036,11.4829891695821,0.000124454571023869,7
"M_2_F_lq_Set_1",1.95570558257045,0,0,449.188524557353,0.959822479899742,0.0243530534242677,7
"M_2_F_lp_Set_1",1.8923323629626,0,0,464.668134894733,16.4394328172795,1.10313853983559e-05,8
"M_2_F_qp_Set_1",1.91311277269166,0,0,453.394215499842,5.16551342238813,0.00321733539385123,6
"M_2_F_lqp_Set_1",1.91265667362853,0,0,457.935625087177,9.70692300972371,0.00034680647647003,7
"M_3_F_l_Set_1",1.93616776769755,0,0,449.480618465256,1.25191638780251,0.0242742104179728,4
"M_3_F_q_Set_1",1.95069183949696,0,0,456.687951239948,8.45924916249396,0.000691779735472262,7
"M_3_F_p_Set_1",1.8634626776002,0,0,460.41200276748,12.1833006900266,0.000112822354063235,6
"M_3_F_lq_Set_1",1.94649949104453,0,0,450.184738593076,1.95603651562271,0.0193619753767666,6
"M_3_F_lp_Set_1",1.86021365890376,0,0,464.57397943478,16.345277357326,1.53220111451764e-05,7
"M_3_F_qp_Set_1",1.89722063154622,0,0,450.612502855535,2.38380077808171,0.0171295535629189,4
"M_3_F_lqp_Set_1",1.89658980376514,0,0,453.748317992958,5.51961591550423,0.0037704230142457,5
"M_4_F_l_Set_1",1.92918065018526,0,0,452.372755490743,4.14405341328978,0.00791241220634391,4
"M_4_F_q_Set_1",1.95374170375579,0,0,448.228702077454,0,0.0628316795986603,4
"M_4_F_p_Set_1",1.85281070032082,0,0.333333333333333,462.602397842676,14.3736957652226,5.07143270025804e-05,5
"M_4_F_lq_Set_1",1.9511375897227,0,0,450.3814132856,2.15271120814674,0.0239063122205974,5
