"Criteria","Number of models"
"All candidate models",98
"Statistically significant models",98
"Models meeting omission rate criteria",92
"Models meeting AICc criteria",5
"Statistically significant models meeting omission rate criteria",92
"Statistically significant models meeting AICc criteria",5
"Statistically significant models meeting omission rate and AICc criteria",5
