Predictor variable,Categorical,Sample average
bio_1,false,27.07400794256301
bio_10,false,27.430952526274183
bio_11,false,26.564285459972563
bio_12,false,2502.4761904761904
bio_13,false,343.1904761904762
bio_14,false,84.28571428571429
bio_15,false,38.94370941888718
bio_16,false,871.8571428571429
bio_17,false,339.1904761904762
bio_2,false,10.071031615847634
bio_3,false,87.86905052548363
bio_4,false,36.33327420552572
bio_5,false,33.07142848060245
bio_6,false,21.604762122744607
bio_7,false,11.466666357857841
bio_ai_et0,false,15630.0
bio_et0_yr,false,1601.0
