Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_ai_et0 contribution,bio_et0_yr contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_ai_et0 permutation importance,bio_et0_yr permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_ai_et0,Training gain without bio_et0_yr,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_ai_et0,Training gain with only bio_et0_yr,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.4438,2.0468,180,0.9635,10021,1.5311,2.8649,0.0000,0.0000,0.0000,0.0000,20.8821,0.0000,36.6304,0.0000,0.0000,0.0000,6.5131,31.5784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.9532,0.0000,0.0000,0.0000,0.0000,0.0000,31.0201,9.0268,0.0000,0.0000,0.0000,1.4438,1.4438,1.4438,1.4438,1.4438,1.4438,1.1051,1.4438,1.4438,1.4438,1.4438,1.4438,1.4085,1.4275,1.4438,1.4438,1.4438,0.3410,0.3182,0.3196,0.0385,0.0053,0.1380,0.1904,0.0027,0.3050,0.0603,0.0126,0.0000,0.3309,0.3677,0.0027,0.0059,0.0559,7.7686,0.1358,1.0000,0.0198,0.5296,0.0000,5.0000,0.0900,0.3277,0.0000,10.0000,0.1675,0.2402,0.0000,23.3580,0.3719,0.1331,0.0000,39.2357,0.5800,0.0747,0.0952,32.5158,0.4962,0.0952,0.0952,23.3580,0.3719,0.1331,0.0000,5.0144,0.0901,0.3274,0.0000,10.3358,0.1711,0.2360,0.0000
Gustavia_santanderiensis_1,21,1.4158,2.0973,200,0.9642,10021,0.0235,0.0000,0.0000,0.0000,0.0000,0.0000,13.6727,0.0015,46.8853,0.0000,0.0000,0.0000,3.3286,36.0883,0.0000,0.0000,0.0000,2.7563,0.0000,0.0000,0.0000,0.0000,0.0000,60.6326,0.0000,2.8862,0.0000,0.0000,0.0000,17.3964,16.3285,0.0000,0.0000,0.0000,1.4157,1.4158,1.4158,1.4158,1.4158,1.4158,1.2140,1.4158,1.3966,1.4158,1.4158,1.4158,1.4117,1.4126,1.4158,1.4158,1.4158,0.3175,0.2893,0.3032,0.0882,0.0094,0.2193,0.2079,0.0093,0.4206,0.0282,0.0381,0.0000,0.2797,0.3463,0.0000,0.0332,0.0531,7.7962,0.1396,1.0000,0.0200,0.5443,0.0000,5.0000,0.0899,0.3367,0.0000,10.0000,0.1695,0.2474,0.0000,26.2960,0.4096,0.1223,0.0000,43.2997,0.6357,0.0657,0.0952,33.1962,0.5050,0.0952,0.0952,26.2960,0.4096,0.1223,0.0000,5.1635,0.0924,0.3326,0.0000,10.3767,0.1753,0.2426,0.0000
Gustavia_santanderiensis_2,21,1.3598,1.9873,160,0.9644,10021,0.0000,1.4377,0.0148,0.0000,0.0000,0.0000,23.4159,2.2199,38.2704,0.0000,0.6564,0.0846,1.3044,32.5960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.9288,0.0000,0.0000,0.0000,2.0880,0.1888,3.3538,32.4407,0.0000,0.0000,0.0000,1.3598,1.3598,1.3598,1.3598,1.3598,1.3598,1.0159,1.3598,1.3598,1.3598,1.3507,1.3585,1.3560,1.3307,1.3598,1.3598,1.3598,0.2537,0.2289,0.2381,0.0685,0.0008,0.1014,0.2428,0.0072,0.3360,0.0123,0.0363,0.0000,0.2272,0.2906,0.0000,0.0248,0.0390,7.8526,0.1480,1.0000,0.0226,0.5581,0.0000,5.0000,0.0938,0.3591,0.0000,10.0000,0.1729,0.2669,0.0000,35.8790,0.5153,0.0932,0.0000,35.8790,0.5153,0.0932,0.0000,35.8790,0.5153,0.0932,0.1429,35.8790,0.5153,0.0932,0.0000,5.2446,0.0974,0.3530,0.0000,10.7864,0.1835,0.2567,0.0000
Gustavia_santanderiensis_3,21,1.5442,2.1665,220,0.9643,10021,3.9904,2.4806,0.0000,0.0000,3.5009,0.0000,15.9781,0.0000,41.9752,0.0000,0.0000,0.0000,0.2728,31.8020,0.0000,0.0000,0.0000,53.4836,0.0000,0.0000,0.0000,0.0000,0.0000,46.2197,0.0000,0.2967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5298,1.5442,1.5442,1.5442,1.5442,1.5442,1.3508,1.5442,1.5406,1.5442,1.5442,1.5442,1.5442,1.5442,1.5442,1.5442,1.5442,0.3565,0.3238,0.3437,0.0718,0.0059,0.1309,0.2183,0.0120,0.3984,0.0301,0.0633,0.0000,0.3061,0.3825,0.0000,0.0198,0.0612,7.6683,0.1222,1.0000,0.0181,0.5025,0.0000,5.0000,0.0854,0.3053,0.0000,10.0000,0.1596,0.2218,0.0000,22.1883,0.3411,0.1255,0.0000,22.3645,0.3427,0.1245,0.0952,22.3841,0.3431,0.1245,0.1429,22.1883,0.3411,0.1255,0.0000,4.7643,0.0818,0.3110,0.0000,10.7026,0.1683,0.2135,0.0000
Gustavia_santanderiensis_4,21,1.6452,2.1468,200,0.9666,10021,10.6276,3.7308,2.6329,0.0000,0.0000,0.0000,18.1971,0.0000,36.2275,0.0000,0.0000,0.0145,0.0000,28.3517,0.0000,0.0000,0.2180,58.6289,0.0000,0.0000,0.0000,0.0000,0.0000,40.1612,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000,1.2076,1.6205,1.6452,1.6452,1.6452,1.6452,1.6452,1.3829,1.6452,1.6452,1.6452,1.6452,1.6452,1.6452,1.6451,1.6452,1.6452,1.6412,0.4563,0.4128,0.4439,0.0991,0.0278,0.0662,0.1715,0.0278,0.3166,0.0552,0.0745,0.0036,0.3842,0.4832,0.0000,0.0390,0.0675,7.5671,0.1103,1.0000,0.0178,0.4582,0.0000,5.0000,0.0824,0.2763,0.0000,10.0000,0.1575,0.1971,0.0000,17.5183,0.2705,0.1355,0.0000,37.2366,0.5727,0.0634,0.0476,37.2366,0.5727,0.0634,0.0476,37.2366,0.5727,0.0634,0.0476,4.4815,0.0742,0.2886,0.0000,10.3814,0.1621,0.1929,0.0000
Gustavia_santanderiensis_5,21,1.2879,1.8452,220,0.9557,10021,3.6952,4.2782,0.1087,0.0000,0.0000,0.0000,10.2352,0.0000,47.2241,0.0000,0.0000,0.0000,2.2648,32.1938,0.0000,0.0000,0.0000,38.7914,0.0000,0.0000,0.0000,0.0000,0.0000,47.4303,0.0000,2.9711,0.0000,0.0000,0.0000,10.8073,0.0000,0.0000,0.0000,0.0000,1.2857,1.2879,1.2879,1.2879,1.2879,1.2879,1.1275,1.2879,1.2673,1.2879,1.2879,1.2879,1.2822,1.2879,1.2879,1.2879,1.2879,0.3261,0.3004,0.3125,0.0785,0.0078,0.1435,0.1624,0.0123,0.3598,0.0421,0.0323,0.0000,0.2966,0.3439,0.0000,0.0256,0.0584,7.9245,0.1591,1.0000,0.0236,0.5948,0.0000,5.0000,0.0900,0.3734,0.0000,10.0000,0.1766,0.2736,0.0000,30.0091,0.4783,0.1208,0.0000,30.7255,0.4872,0.1178,0.0476,30.7497,0.4876,0.1178,0.1429,30.0091,0.4783,0.1208,0.0000,5.8144,0.1044,0.3515,0.0000,9.8536,0.1735,0.2758,0.0000
Gustavia_santanderiensis_6,21,1.3168,1.8338,160,0.9553,10021,3.5528,0.0000,0.0000,0.0000,0.8534,0.0000,24.2158,0.0000,33.2864,0.2855,0.0000,0.0000,1.6640,36.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.9119,0.0000,0.0000,0.0000,0.0000,0.0000,21.6173,18.4708,0.0000,0.0000,0.0000,1.3168,1.3168,1.3168,1.3168,1.3168,1.3168,1.0278,1.3168,1.3168,1.3168,1.3168,1.3168,1.3046,1.2989,1.3168,1.3168,1.3168,0.3047,0.2766,0.2877,0.0694,0.0080,0.1268,0.1871,0.0130,0.2794,0.0498,0.0298,0.0000,0.2820,0.3362,0.0003,0.0259,0.0430,7.8956,0.1548,1.0000,0.0235,0.5674,0.0000,5.0000,0.0949,0.3614,0.0000,10.0000,0.1794,0.2687,0.0000,28.6831,0.4496,0.1254,0.0000,28.6831,0.4496,0.1254,0.0000,28.6831,0.4496,0.1254,0.1429,28.6831,0.4496,0.1254,0.0000,5.3561,0.1016,0.3523,0.0000,10.0628,0.1804,0.2679,0.0000
Gustavia_santanderiensis_7,21,1.3535,2.1495,180,0.9641,10021,2.8819,0.0000,0.0000,0.0000,2.4491,0.0000,21.8193,0.0000,34.9605,0.0000,0.0000,0.0000,4.5507,33.3385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.7762,0.0000,0.0000,0.0000,0.0000,0.0000,23.3179,11.9059,0.0000,0.0000,0.0000,1.3535,1.3535,1.3535,1.3535,1.3535,1.3535,1.0849,1.3535,1.3534,1.3535,1.3535,1.3535,1.3299,1.3383,1.3535,1.3535,1.3535,0.2592,0.2430,0.2413,0.0467,0.0000,0.0901,0.2390,0.0009,0.3607,0.0144,0.0098,0.0000,0.2462,0.2867,0.0000,0.0106,0.0474,7.8589,0.1492,1.0000,0.0213,0.5588,0.0000,5.0000,0.0957,0.3531,0.0000,10.0000,0.1762,0.2624,0.0000,31.2672,0.4784,0.1115,0.0000,41.4465,0.5960,0.0769,0.0952,35.6726,0.5271,0.0952,0.0952,31.2672,0.4784,0.1115,0.0000,5.1708,0.0981,0.3488,0.0000,10.3236,0.1804,0.2583,0.0000
Gustavia_santanderiensis_8,21,1.4408,2.0598,160,0.9662,10021,0.0000,2.0084,0.0000,0.0000,0.0000,0.0000,15.9357,0.0000,43.4490,0.0000,0.0000,0.0000,4.8936,33.7133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.8377,0.0000,1.2848,0.0000,0.0000,0.0000,27.1712,12.7062,0.0000,0.0000,0.0000,1.4408,1.4408,1.4408,1.4408,1.4408,1.4408,1.1954,1.4408,1.4320,1.4408,1.4408,1.4408,1.4207,1.4236,1.4408,1.4408,1.4408,0.3228,0.2984,0.3039,0.0613,0.0024,0.1839,0.2049,0.0049,0.3829,0.0412,0.0130,0.0000,0.3027,0.3544,0.0007,0.0181,0.0534,7.7714,0.1361,1.0000,0.0195,0.5321,0.0000,5.0000,0.0898,0.3283,0.0000,10.0000,0.1686,0.2407,0.0000,26.5617,0.4204,0.1180,0.0000,41.8950,0.6165,0.0678,0.0952,37.4471,0.5549,0.0797,0.0952,26.5617,0.4204,0.1180,0.0000,5.0641,0.0903,0.3267,0.0000,10.3294,0.1732,0.2366,0.0000
Gustavia_santanderiensis_9,21,1.3802,1.9581,240,0.9590,10021,4.9628,0.0000,2.2170,0.0000,0.0000,0.0000,13.6673,0.0000,45.0405,0.0000,0.0000,0.0000,2.0737,32.0387,0.0000,0.0000,0.0000,49.5242,0.0000,0.0000,0.0000,0.0000,0.0000,47.5957,0.0000,0.9708,0.0000,0.0000,0.0000,1.9093,0.0000,0.0000,0.0000,0.0000,1.3742,1.3802,1.3802,1.3802,1.3802,1.3802,1.1857,1.3802,1.3760,1.3802,1.3802,1.3802,1.3783,1.3802,1.3802,1.3802,1.3802,0.3439,0.3110,0.3296,0.0842,0.0152,0.1505,0.1805,0.0204,0.3453,0.0538,0.0416,0.0000,0.3076,0.3635,0.0000,0.0316,0.0530,7.8315,0.1446,1.0000,0.0214,0.5568,0.0000,5.0000,0.0886,0.3459,0.0000,10.0000,0.1738,0.2539,0.0000,26.0900,0.4091,0.1271,0.0000,27.8792,0.4369,0.1190,0.0952,27.8792,0.4369,0.1190,0.0952,26.0900,0.4091,0.1271,0.0000,5.3558,0.0956,0.3367,0.0000,10.2014,0.1761,0.2513,0.0000
