Predictor variable,Categorical,Sample average
bio_1,false,27.132341203235445
bio_10,false,27.5246030716669
bio_11,false,26.59206317719959
bio_12,false,2421.809523809524
bio_13,false,339.57142857142856
bio_14,false,79.0952380952381
bio_15,false,39.74581128075009
bio_16,false,857.2380952380952
bio_17,false,321.42857142857144
bio_2,false,10.14246027810233
bio_3,false,87.2849636986142
bio_4,false,38.27835055759975
bio_5,false,33.280951908656526
bio_6,false,21.657143093290784
bio_7,false,11.623808815365745
bio_ai_et0,false,15121.57142857143
bio_et0_yr,false,1601.1904761904761
