Predictor variable,Categorical,Sample average
bio_1,false,27.209722155616397
bio_10,false,27.561904816400435
bio_11,false,26.70634887332008
bio_12,false,2469.6666666666665
bio_13,false,334.4761904761905
bio_14,false,78.9047619047619
bio_15,false,39.48619606381371
bio_16,false,872.4761904761905
bio_17,false,332.0952380952381
bio_2,false,10.081349191211519
bio_3,false,88.155759538923
bio_4,false,36.21907415844145
bio_5,false,33.17618996756418
bio_6,false,21.733333496820357
bio_7,false,11.442856470743815
bio_ai_et0,false,15384.095238095239
bio_et0_yr,false,1605.7142857142858
