Predictor variable,Categorical,Sample average
bio_1,false,26.854563486008416
bio_10,false,27.210317157563708
bio_11,false,26.317460105532692
bio_12,false,2428.714285714286
bio_13,false,330.4761904761905
bio_14,false,76.28571428571429
bio_15,false,39.282929284232004
bio_16,false,849.952380952381
bio_17,false,320.3809523809524
bio_2,false,9.971825554257347
bio_3,false,87.51377687000092
bio_4,false,37.20547212873186
bio_5,false,32.861904235113236
bio_6,false,21.466666811988468
bio_7,false,11.395237423124767
bio_ai_et0,false,15248.238095238095
bio_et0_yr,false,1592.6190476190477
