Predictor variable,Categorical,Sample average
bio_1,false,27.092261904761905
bio_10,false,27.46904754638672
bio_11,false,26.561904634748185
bio_12,false,2460.7619047619046
bio_13,false,337.85714285714283
bio_14,false,80.14285714285714
bio_15,false,39.46022469656808
bio_16,false,863.6666666666666
bio_17,false,325.9047619047619
bio_2,false,10.086904661996025
bio_3,false,87.36925361269996
bio_4,false,37.29486765180315
bio_5,false,33.180952072143555
bio_6,false,21.633333478655135
bio_7,false,11.547618593488421
bio_ai_et0,false,15372.857142857143
bio_et0_yr,false,1599.952380952381
