Predictor variable,Categorical,Sample average
bio_1,false,27.32797640845889
bio_10,false,27.704761868431454
bio_11,false,26.83253951299758
bio_12,false,2491.6190476190477
bio_13,false,348.23809523809524
bio_14,false,75.47619047619048
bio_15,false,41.44469706217448
bio_16,false,873.6666666666666
bio_17,false,312.2857142857143
bio_2,false,10.283729916527157
bio_3,false,87.88475000290643
bio_4,false,36.16907864525204
bio_5,false,33.452380679902575
bio_6,false,21.74285734267462
bio_7,false,11.709523337227958
bio_ai_et0,false,15489.904761904761
bio_et0_yr,false,1608.8095238095239
