Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_ai_et0 contribution,bio_et0_yr contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_ai_et0 permutation importance,bio_et0_yr permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_ai_et0,Training gain without bio_et0_yr,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_ai_et0,Training gain with only bio_et0_yr,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Gustavia_santanderiensis_0,21,1.6814,2.1927,280,0.9677,10018,4.6966,0.0000,0.0000,0.0000,0.7840,0.0000,15.2737,0.0000,39.0790,0.0000,0.0816,0.0625,0.6014,39.3942,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.7981,0.0000,1.9870,0.0000,1.5990,0.2588,3.7491,53.1959,0.0000,0.0000,0.4121,1.6814,1.6814,1.6814,1.6814,1.6814,1.6814,1.5551,1.6814,1.6455,1.6814,1.6767,1.6799,1.6796,1.6645,1.6814,1.6814,1.6808,0.3592,0.3248,0.3438,0.1117,0.0234,0.2448,0.2433,0.0276,0.4607,0.0451,0.0595,0.0006,0.3143,0.3996,0.0000,0.0529,0.0518,7.5308,0.1066,1.0000,0.0162,0.4754,0.0000,5.0000,0.0758,0.2838,0.0000,10.0000,0.1464,0.2023,0.0000,20.6150,0.3012,0.1193,0.0000,42.3726,0.6185,0.0512,0.0952,37.0991,0.5508,0.0623,0.0476,37.0991,0.5508,0.0623,0.0476,4.7289,0.0717,0.2904,0.0000,11.4823,0.1650,0.1861,0.0000
Gustavia_santanderiensis_1,21,1.5727,1.9163,260,0.9544,10021,30.4775,3.8817,3.5733,0.0000,0.0000,0.0000,20.0938,0.0000,34.2553,0.0000,0.0000,0.2202,1.1957,6.3025,0.0000,0.0000,0.0000,12.2591,0.0000,0.0000,0.0000,0.0000,0.0000,43.5856,0.0000,0.0000,0.0000,0.0000,0.8532,43.3021,0.0000,0.0000,0.0000,0.0000,1.5708,1.5727,1.5727,1.5727,1.5727,1.5727,1.3385,1.5727,1.5684,1.5727,1.5727,1.5624,1.5548,1.5727,1.5727,1.5727,1.5727,0.4192,0.3863,0.4065,0.1048,0.0415,0.1393,0.1709,0.0236,0.3144,0.1691,0.0609,0.0000,0.4002,0.4111,0.0163,0.0402,0.0711,7.6397,0.1191,1.0000,0.0174,0.5019,0.0000,5.0000,0.0773,0.2948,0.0000,10.0000,0.1610,0.2077,0.0000,15.1117,0.2477,0.1607,0.0000,24.0310,0.3964,0.1117,0.0476,24.0310,0.3964,0.1117,0.0476,24.0310,0.3964,0.1117,0.0476,5.1538,0.0796,0.2909,0.0000,10.0231,0.1612,0.2075,0.0000
Gustavia_santanderiensis_2,21,1.4490,1.8891,220,0.9569,10021,0.0000,0.0000,2.5346,0.0000,1.9105,0.0000,27.3934,0.0000,31.4365,0.0000,0.3526,0.0000,1.5295,34.7505,0.0000,0.0000,0.0924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.1810,0.0000,0.0000,0.0000,0.7251,0.0000,3.9153,48.1637,0.0000,0.0000,2.0149,1.4490,1.4490,1.4490,1.4490,1.4490,1.4490,1.2751,1.4490,1.4478,1.4490,1.4453,1.4490,1.4418,1.4184,1.4490,1.4490,1.4465,0.3129,0.2895,0.2950,0.0694,0.0105,0.1441,0.2173,0.0136,0.3330,0.0350,0.0293,0.0000,0.2895,0.3505,0.0000,0.0257,0.0473,7.7635,0.1355,1.0000,0.0205,0.5277,0.0000,5.0000,0.0894,0.3370,0.0000,10.0000,0.1649,0.2483,0.0000,24.5167,0.3629,0.1308,0.0000,40.0712,0.5776,0.0725,0.0952,32.8194,0.4797,0.0952,0.0952,24.5167,0.3629,0.1308,0.0000,5.0187,0.0896,0.3366,0.0000,11.1020,0.1811,0.2348,0.0000
Gustavia_santanderiensis_3,21,1.6603,2.2742,380,0.9730,10021,4.3024,3.4066,1.9821,0.0000,1.6131,0.0000,20.7407,0.0000,32.2127,0.0000,1.1571,0.8157,0.3458,32.6241,0.0000,0.0000,0.7996,32.2614,0.0000,0.0000,0.0000,0.0000,0.0000,28.5427,0.0000,0.0000,0.0000,5.1801,1.3524,0.0000,23.1742,0.0000,0.0000,9.4892,1.6540,1.6603,1.6603,1.6603,1.6603,1.6603,1.4844,1.6603,1.6574,1.6603,1.6170,1.6340,1.6603,1.6485,1.6603,1.6603,1.6340,0.3887,0.3542,0.3741,0.0896,0.0174,0.1362,0.2117,0.0237,0.3326,0.0544,0.0378,0.0013,0.3459,0.4135,0.0014,0.0365,0.0636,7.5523,0.1087,1.0000,0.0186,0.4671,0.0000,5.0000,0.0779,0.2939,0.0000,10.0000,0.1414,0.2089,0.0000,15.1555,0.2103,0.1576,0.0000,44.4487,0.6412,0.0479,0.0476,44.4487,0.6412,0.0479,0.0476,44.4487,0.6412,0.0479,0.0476,4.6205,0.0731,0.3031,0.0000,11.6307,0.1626,0.1901,0.0000
Gustavia_santanderiensis_4,21,1.5358,1.9686,240,0.9569,10019,2.0637,2.6743,0.0000,0.0000,1.1693,0.0000,11.7782,2.1784,45.0735,0.0000,0.0482,0.2528,2.1464,32.6152,0.0000,0.0000,0.0000,44.8713,0.0000,0.0000,0.0000,0.2488,0.0000,41.7913,0.0000,1.9966,0.0000,0.3478,0.1659,0.0000,10.5785,0.0000,0.0000,0.0000,1.5313,1.5358,1.5358,1.5358,1.5356,1.5358,1.4370,1.5358,1.5135,1.5358,1.5352,1.5346,1.5358,1.5322,1.5358,1.5358,1.5358,0.3296,0.2942,0.3188,0.1146,0.0224,0.2066,0.2315,0.0280,0.4314,0.0326,0.0873,0.0056,0.2790,0.3635,0.0000,0.0537,0.0498,7.6766,0.1235,1.0000,0.0181,0.5266,0.0000,5.0000,0.0779,0.3197,0.0000,10.0000,0.1523,0.2294,0.0000,20.9680,0.3107,0.1353,0.0000,24.4605,0.3645,0.1171,0.0476,24.4605,0.3645,0.1171,0.1429,20.9680,0.3107,0.1353,0.0000,5.2807,0.0825,0.3125,0.0000,11.1515,0.1691,0.2153,0.0000
Gustavia_santanderiensis_5,21,1.6227,2.0793,220,0.9606,10020,19.4909,0.0000,0.0098,0.0000,0.0000,0.0000,9.2912,0.0000,42.8882,0.0000,0.0000,0.1011,4.8030,23.4158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.5328,0.0000,2.7554,0.0000,0.0000,0.5804,45.8106,12.3208,0.0000,0.0000,0.0000,1.6227,1.6227,1.6227,1.6227,1.6227,1.6227,1.5128,1.6227,1.5772,1.6227,1.6227,1.6198,1.6073,1.6206,1.6227,1.6227,1.6227,0.4256,0.3915,0.4088,0.1066,0.0329,0.1860,0.1723,0.0278,0.3922,0.1224,0.0614,0.0000,0.3965,0.4385,0.0091,0.0414,0.0718,7.5895,0.1132,1.0000,0.0156,0.4911,0.0000,5.0000,0.0762,0.2802,0.0000,10.0000,0.1573,0.1963,0.0000,20.4815,0.3394,0.1208,0.0000,37.4636,0.5840,0.0660,0.0952,26.8620,0.4409,0.0952,0.0952,20.4815,0.3394,0.1208,0.0000,4.9748,0.0759,0.2809,0.0000,9.9155,0.1556,0.1973,0.0000
Gustavia_santanderiensis_6,21,1.9366,2.6139,280,0.9830,10019,1.4694,0.0000,3.6604,0.0000,3.0051,0.0000,14.6567,0.0000,32.4215,0.0000,0.7525,0.8127,1.9198,37.1739,0.0000,0.0000,4.1280,8.1482,0.0000,0.0000,0.0000,0.0055,0.0000,17.3388,0.0000,0.0000,0.0000,3.9343,0.9670,0.0000,49.2409,0.0000,0.0000,20.3653,1.9342,1.9366,1.9366,1.9366,1.9366,1.9366,1.8517,1.9366,1.9355,1.9366,1.8879,1.8959,1.9366,1.8897,1.9366,1.9366,1.8167,0.4411,0.3915,0.4270,0.1295,0.0176,0.1377,0.2219,0.0275,0.3428,0.0580,0.1116,0.0142,0.3657,0.4939,0.0000,0.0665,0.0935,7.2757,0.0821,1.0000,0.0175,0.3846,0.0000,5.0000,0.0656,0.2325,0.0000,10.0000,0.1291,0.1584,0.0000,34.9631,0.5435,0.0502,0.0000,43.1838,0.6644,0.0370,0.0476,36.4052,0.5611,0.0476,0.0476,34.9631,0.5435,0.0502,0.0000,4.2283,0.0559,0.2502,0.0000,11.4918,0.1515,0.1441,0.0000
Gustavia_santanderiensis_7,21,1.5117,2.0599,320,0.9618,10019,18.4166,0.0000,0.0000,0.0000,0.0000,1.3641,22.0307,3.3715,27.9209,0.0000,0.7414,0.7113,0.5367,24.6334,0.0000,0.0000,0.2733,51.8921,0.0000,0.0000,0.0000,0.0000,0.2986,37.0866,0.0000,0.0000,0.0000,3.0243,0.7462,0.0791,3.7236,0.0000,0.0000,3.1495,1.5083,1.5117,1.5117,1.5117,1.5117,1.5057,1.3268,1.5117,1.5106,1.5117,1.4953,1.4952,1.5117,1.5107,1.5117,1.5117,1.5047,0.3717,0.3382,0.3603,0.0735,0.0151,0.0710,0.1884,0.0150,0.2969,0.0671,0.0426,0.0020,0.3370,0.3874,0.0025,0.0260,0.0526,7.7003,0.1267,1.0000,0.0201,0.4998,0.0000,5.0000,0.0886,0.3138,0.0000,10.0000,0.1619,0.2287,0.0000,16.3855,0.2520,0.1668,0.0000,22.4982,0.3432,0.1287,0.0476,22.4982,0.3432,0.1287,0.1429,16.3855,0.2520,0.1668,0.0000,4.7267,0.0843,0.3205,0.0000,10.6902,0.1719,0.2204,0.0000
Gustavia_santanderiensis_8,21,1.4088,1.8458,180,0.9510,10021,5.1904,0.0000,0.0000,0.0000,0.0000,1.1687,27.7947,2.0673,29.9514,0.0000,0.0000,0.0017,1.2218,32.6040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5754,53.2050,0.0000,0.8359,0.0000,0.0000,0.0000,15.1570,30.2268,0.0000,0.0000,0.0000,1.4088,1.4088,1.4088,1.4088,1.4088,1.3981,1.1795,1.4088,1.4037,1.4088,1.4088,1.4088,1.3907,1.3951,1.4088,1.4088,1.4088,0.3194,0.2976,0.3038,0.0557,0.0092,0.0639,0.2007,0.0066,0.3073,0.0549,0.0422,0.0000,0.3014,0.3455,0.0003,0.0151,0.0531,7.8038,0.1411,1.0000,0.0203,0.5287,0.0000,5.0000,0.0942,0.3310,0.0000,10.0000,0.1780,0.2448,0.0000,18.0097,0.2968,0.1707,0.0000,32.0301,0.4934,0.1007,0.0476,32.0301,0.4934,0.1007,0.0476,32.0301,0.4934,0.1007,0.0476,4.9457,0.0930,0.3324,0.0000,10.0339,0.1788,0.2444,0.0000
Gustavia_santanderiensis_9,21,1.6235,2.1446,220,0.9657,10019,0.0000,0.0000,0.0000,0.0000,0.6277,2.5446,17.3919,0.0000,38.7546,0.0000,0.0363,0.1904,0.5165,39.5709,0.0000,0.3670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0181,48.7024,0.0000,1.4967,0.0000,0.0000,0.4322,8.2454,40.1052,0.0000,0.0000,0.0000,1.6235,1.6235,1.6235,1.6235,1.6235,1.6003,1.4629,1.6235,1.5990,1.6235,1.6235,1.6193,1.6181,1.6091,1.6235,1.6235,1.6235,0.3537,0.3183,0.3409,0.1270,0.0231,0.1235,0.2313,0.0325,0.4002,0.0404,0.0767,0.0074,0.3032,0.3949,0.0000,0.0647,0.0527,7.5888,0.1130,1.0000,0.0183,0.4530,0.0000,5.0000,0.0868,0.2776,0.0000,10.0000,0.1627,0.2007,0.0000,12.7730,0.2026,0.1733,0.0000,42.4128,0.6493,0.0544,0.0952,33.7670,0.5237,0.0737,0.0952,33.7295,0.5234,0.0737,0.0476,4.3020,0.0758,0.2938,0.0000,10.3229,0.1662,0.1972,0.0000
